deviceID,seconds,beaconID,rssi
03,14850,bcn3-11,-87
03,14880,bcn3-11,-87
03,14910,bcn3-11,-90
03,14940,bcn3-11,-85
03,14970,bcn3-11,-89
03,15000,bcn3-11,-88
03,15030,bcn3-11,-84
03,15060,bcn3-11,-87
03,15090,bcn3-11,-86
03,15120,bcn3-11,-88
03,15150,bcn3-11,-87
03,15180,bcn3-11,-90
03,15210,bcn3-11,-86
03,15240,bcn3-11,-87
03,15270,bcn3-11,-87
03,15300,bcn3-11,-87
03,15330,bcn3-11,-86
03,15360,bcn3-11,-87
03,15390,bcn3-11,-82
03,15420,bcn3-11,-83
03,15450,bcn3-11,-82
03,15480,bcn3-8,-69
03,15510,bcn3-4,-72
03,15540,bcn3-1,-64
03,15570,bcn3-4,-73
03,15600,bcn3-5,-68
03,15630,bcn3-5,-75
03,15660,bcn3-4,-77
03,15690,bcn3-4,-81
03,15720,bcn3-5,-66
03,15750,bcn3-5,-67
03,15780,bcn3-4,-74
03,15810,bcn3-1,-62
03,15840,bcn3-1,-74
03,15870,bcn3-2,-76
03,15900,bcn3-9,-73
03,15930,bcn3-9,-76
03,15960,bcn3-5,-74
03,15990,bcn3-1,-61
03,16020,bcn3-1,-62
03,16050,bcn3-2,-74
03,16080,bcn3-2,-68
03,16110,bcn3-1,-60
03,16140,bcn3-2,-68
03,16170,bcn3-1,-70
03,16200,bcn3-1,-74
03,16230,bcn3-2,-74
03,16260,bcn3-2,-67
03,16290,bcn3-2,-63
03,16320,bcn3-2,-72
03,16350,bcn3-1,-69
03,16380,bcn3-2,-63
03,16410,bcn3-1,-68
03,16440,bcn3-1,-68
03,16470,bcn3-1,-68
03,16500,bcn3-2,-72
03,16530,bcn3-1,-64
03,16560,bcn3-1,-67
03,16590,bcn3-1,-72
03,16620,bcn3-2,-67
03,16650,bcn3-2,-68
03,16680,bcn3-1,-71
03,16710,bcn3-2,-68
03,16740,bcn3-2,-74
03,16770,bcn3-1,-77
03,16800,bcn3-1,-65
03,16830,bcn3-1,-64
03,16860,bcn3-3,-80
03,16890,bcn3-2,-65
03,16920,bcn3-3,-75
03,16950,bcn3-3,-70
03,16980,bcn3-1,-67
03,17010,bcn3-2,-65
03,17040,bcn3-1,-74
03,17070,bcn3-1,-67
03,17100,bcn3-1,-72
03,17130,bcn3-1,-63
03,17160,bcn3-2,-71
03,17190,bcn3-1,-70
03,17220,bcn3-1,-71
03,17250,bcn3-6,-77
03,17280,bcn3-3,-78
03,17310,bcn3-1,-68
03,17340,bcn3-1,-74
03,17370,bcn3-2,-70
03,17400,bcn3-1,-61
03,17430,bcn3-1,-68
03,17460,bcn3-1,-72
03,17490,bcn3-3,-72
03,17520,bcn3-4,-74
03,17550,bcn3-4,-76
03,17580,bcn3-1,-67
03,17610,bcn3-2,-69
03,17640,bcn3-1,-59
03,17670,bcn3-1,-58
03,17700,bcn3-1,-69
03,17730,bcn3-1,-68
03,17760,bcn3-1,-59
03,17790,bcn3-1,-59
03,17820,bcn3-1,-63
03,17850,bcn3-1,-61
03,17880,bcn3-1,-61
03,17910,bcn3-1,-58
03,17940,bcn3-1,-60
03,17970,bcn3-1,-57
03,18000,bcn3-1,-60
03,18030,bcn3-2,-65
03,18060,bcn3-1,-67
03,18090,bcn3-9,-81
03,18120,bcn,
03,18150,bcn3-5,-88
03,18180,bcn3-11,-84
03,18210,bcn3-8,-77
03,18240,bcn3-8,-73
03,18270,bcn3-2,-80
03,18300,bcn3-2,-70
03,18330,bcn3-1,-67
03,18360,bcn3-2,-67
03,18390,bcn3-1,-57
03,18420,bcn3-1,-60
03,18450,bcn3-1,-63
03,18480,bcn3-1,-53
03,18510,bcn3-1,-63
03,18540,bcn3-1,-59
03,18570,bcn3-1,-60
03,18600,bcn3-2,-62
03,18630,bcn3-2,-63
03,18660,bcn3-1,-59
03,18690,bcn3-2,-66
03,18720,bcn3-1,-63
03,18750,bcn3-1,-66
03,18780,bcn3-1,-64
03,18810,bcn3-1,-59
03,18840,bcn3-1,-61
03,18870,bcn3-2,-65
03,18900,bcn3-1,-67
03,18930,bcn3-1,-58
03,18960,bcn3-1,-69
03,18990,bcn3-1,-76
03,19020,bcn3-1,-59
03,19050,bcn3-1,-57
03,19080,bcn3-1,-67
03,19110,bcn3-1,-60
03,19140,bcn3-1,-60
03,19170,bcn3-1,-61
03,19200,bcn3-1,-64
03,19230,bcn3-1,-60
03,19260,bcn3-1,-68
03,19290,bcn3-1,-68
03,19320,bcn3-1,-61
03,19350,bcn3-1,-59
03,19380,bcn3-1,-59
03,19410,bcn3-1,-57
03,19440,bcn3-2,-64
03,19470,bcn3-1,-65
03,19500,bcn3-1,-69
03,19530,bcn3-1,-62
03,19560,bcn3-1,-63
03,19590,bcn3-1,-52
03,19620,bcn3-1,-62
03,19650,bcn3-1,-58
03,19680,bcn3-1,-61
03,19710,bcn3-2,-70
03,19740,bcn3-1,-58
